Impulse Category,Hour of Day,Attach Rate (%)
DECOR,10,39.9
KITCHENWARE,10,29.6
LAMPS,10,50.6
DECOR,11,37.2
KITCHENWARE,11,26.8
LAMPS,11,53.7
DECOR,12,37.3
KITCHENWARE,12,27.4
LAMPS,12,51.3
DECOR,13,37.2
KITCHENWARE,13,28.6
LAMPS,13,51.2
DECOR,14,38.5
KITCHENWARE,14,26.5
LAMPS,14,51.3
DECOR,15,38.8
KITCHENWARE,15,26.7
LAMPS,15,51.2
DECOR,16,38.1
KITCHENWARE,16,27.6
LAMPS,16,51.1
DECOR,17,37.8
KITCHENWARE,17,27
LAMPS,17,50.8
DECOR,18,38.8
KITCHENWARE,18,26.9
LAMPS,18,52.6
DECOR,19,37.2
KITCHENWARE,19,27.4
LAMPS,19,52.6